Date,DH,AF,AH,NB,MM,MA2,AM,AK,MA,NA3,PA,NA,NE,RJ,AR,AC
9/1/2020,00:00-07:00,07:00-19:00,04:45-00:00,00:00-07:00,01:00-09:00,01:00-16:00,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00, , , , , 
9/2/2020,07:00-19:00,07:00-19:00, ,07:00-19:00,01:00-09:01, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00, , , , , 
9/3/2020,07:00-19:00,07:00-19:00, ,07:00-19:00,01:00-09:02, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00, , , , , 
9/4/2020,07:00-18:00, , ,07:00-18:00,01:00-09:03, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00,00:00-01:00, , , , 
9/5/2020,00:00-23:30, , ,00:00-23:30,01:00-09:04, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00, ,00:00-01:00, , , 
9/6/2020,00:00-23:30, , ,00:00-23:30,01:00-09:05, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00, , , , , 
9/7/2020, , , , ,01:00-09:06, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00, , , , , 
9/8/2020, ,07:00-19:00, , ,01:00-09:07, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00, , ,07:00-18:00, , 
9/9/2020, , , , ,01:00-09:08, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00, , ,07:00-18:00, , 
9/10/2020,07:00-20:30, , ,07:00-20:30,01:00-09:09, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00, , ,07:00-18:00, , 
9/11/2020, ,07:00-19:00, , ,01:00-09:50, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00, , ,07:00-18:00, , 
9/12/2020,07:00-19:00,07:00-19:00, ,07:00-19:00,01:00-09:11, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00, , ,07:00-18:00, , 
9/13/2020,07:00-19:00,07:00-19:00, ,07:00-19:00,01:00-09:12, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00, , ,07:00-18:00, , 
9/14/2020,00:00-23:30, , ,00:00-23:30,01:00-09:13, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00,00:00-18:30, ,07:00-18:00, , 
9/15/2020,09:00-21:00,19:00-07:00, ,09:00-21:00,07:00-19:00, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00,00:00-09:00, ,07:00-18:00, , 
9/16/2020,07:00-19:00,19:00-07:00, ,07:00-19:00,07:00-19:00, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00, , ,07:00-18:00, , 
9/17/2020,07:00-19:00, , ,07:00-19:00,01:00-09:16, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00, , ,07:00-18:00, , 
9/18/2020,07:00-19:00,19:00-07:00, ,07:00-19:00,01:00-09:17, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00, , ,07:00-18:00, , 
9/19/2020, , , , ,01:00-09:18, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00, , ,07:00-18:00, , 
9/20/2020, , , , ,01:00-09:19, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00, , ,07:00-18:00, , 
9/21/2020, ,07:00-19:00, , ,01:00-09:20, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00, , ,07:00-18:00, , 
9/22/2020, , , , ,01:00-09:21, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00, , ,07:00-18:00, , 
9/23/2020, ,19:00-07:00, , ,01:00-09:22, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00, , ,07:00-18:00, , 
9/24/2020, , , , ,01:00-09:23, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00, , ,07:00-18:00, , 
9/25/2020, , , , ,01:00-09:24, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00, , ,07:00-18:00, , 
9/26/2020,07:00-19:00,07:00-19:00, ,07:00-19:00,01:00-09:25, ,07:00-18:00, ,07:00-18:00,07:00-18:00,07:00-18:00, , ,07:00-18:00, , 
9/27/2020,07:00-19:00,07:00-19:00, ,07:00-19:00,01:00-09:26, ,07:00-18:00, , , , , , ,07:00-18:00, , 
9/28/2020,07:00-19:00,19:00-07:00, ,07:00-19:00,01:00-09:27, ,07:00-18:00, , , , , , ,07:00-18:00, , 
9/29/2020,07:00-19:00, , ,07:00-19:00,01:00-09:28, ,07:00-18:00, , , , , , ,07:00-18:00, , 
9/30/2020,07:00-19:00, , ,07:00-19:00,01:00-09:29, ,07:00-18:00, , , , , , ,07:00-18:00, , 
